2025-06-03 20:13:40,196 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-03 20:13:42,926 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-03 20:13:42,928 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-06-03 20:13:43,183 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 234 ms. Found 1 JPA repository interface.
2025-06-03 20:13:43,187 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-03 20:13:43,187 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-06-03 20:13:43,213 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 6 JPA repository interfaces.
2025-06-03 20:13:43,214 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-03 20:13:43,214 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-06-03 20:13:43,221 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 1 JPA repository interface.
2025-06-03 20:13:43,222 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-03 20:13:43,222 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-06-03 20:13:43,371 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 148 ms. Found 52 JPA repository interfaces.
2025-06-03 20:13:43,994 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2025-06-03 20:13:44,006 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2025-06-03 20:13:47,027 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2025-06-03 20:13:47,042 [main] INFO  o.a.coyote.http11.Http11NioProtocol - The ["http-nio-0.0.0.0-9090"] connector has been configured to support HTTP upgrade to [h2c]
2025-06-03 20:13:47,042 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-06-03 20:13:47,045 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-03 20:13:47,045 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-06-03 20:13:47,096 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-03 20:13:47,096 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6680 ms
2025-06-03 20:13:47,575 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-03 20:13:47,899 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-06-03 20:13:48,524 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-06-03 20:13:48,779 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-03 20:13:49,030 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7f588bc6
2025-06-03 20:13:49,032 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-03 20:13:49,962 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-06-03 20:13:55,234 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-03 20:13:55,285 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-03 20:13:59,282 [main] INFO  o.t.s.d.a.CachedAttributesService - Going to use directExecutor for the local cache type caffeine
2025-06-03 20:14:01,919 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [public/index.html]
2025-06-03 20:14:05,284 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-06-03 20:14:05,496 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@55b567c0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@282ded42, org.springframework.security.web.context.SecurityContextHolderFilter@2ce8ce50, org.springframework.security.web.header.HeaderWriterFilter@7b3c0d0c, org.springframework.web.filter.CorsFilter@3123dfb3, org.springframework.security.web.csrf.CsrfFilter@75024403, org.springframework.security.web.authentication.logout.LogoutFilter@3d494e91, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@788c607c, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@564a9c89, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@cbaa846, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3687bc0d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1dab0c5e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7507ec0f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@73992ed7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63def34c, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@702ce4b0, org.springframework.security.web.access.ExceptionTranslationFilter@53e44718, org.springframework.security.web.access.intercept.AuthorizationFilter@404b3bb5]
2025-06-03 20:14:06,753 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2025-06-03 20:14:06,754 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'application.errorChannel' has 1 subscriber(s).
2025-06-03 20:14:06,754 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - started bean '_org.springframework.integration.errorLogger'
2025-06-03 20:14:06,755 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-06-03 20:14:06,781 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path ''
2025-06-03 20:14:06,887 [main] INFO  o.t.s.i.ThingsboardInstallService - Starting ThingsBoard Installation...
2025-06-03 20:14:06,887 [main] INFO  o.t.s.i.ThingsboardInstallService - Installing DataBase schema for entities...
2025-06-03 20:14:06,888 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema part: schema-entities.sql
2025-06-03 20:14:07,428 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema indexes part: schema-entities-idx.sql
